module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Lens,bmad-lens-adversarial-review,adversarial-review,RV,Run lifecycle adversarial review with a party-mode blind-spot challenge,review,<featureId> [--phase current|preplan|businessplan|techplan|finalizeplan|expressplan] [--source manual-rerun|phase-complete],anytime,,,false,,"preplan-adversarial-review.md, businessplan-adversarial-review.md, techplan-adversarial-review.md, finalizeplan-review.md, expressplan-adversarial-review.md"
Lens,bmad-lens-finalizeplan,finalizeplan,FZ,Run FinalizePlan phase — review bundled planning outputs and PR handoff for a feature,plan,<featureId> [--mode interactive|batch],phase-4,bmad-lens-techplan:plan,,false,,"finalizeplan-review.md, epics.md, stories.md, implementation-readiness.md, sprint-status.yaml, stories/"
Lens,bmad-lens-expressplan,expressplan,LE,Run ExpressPlan phase — QuickPlan via Lens wrapper then adversarial review then FinalizePlan,plan,<featureId> [--mode interactive|batch],phase-express,bmad-lens-init-feature:create,,false,,"business-plan.md, tech-plan.md, sprint-plan.md, expressplan-adversarial-review.md"
Lens,bmad-lens-dev,dev,DV,Launch Dev phase — epic-level implementation loop with story management,implement,<featureId> [--epic],delegation,bmad-lens-finalizeplan:plan,,false,,implementation artifacts
Lens,bmad-lens-bmad-skill,bmad-brainstorming,BBS,Run BMAD brainstorming with Lens governance context,brainstorming,<featureId>,preplan,,,false,feature.yaml.docs.path,brainstorming session
Lens,bmad-lens-bmad-skill,bmad-product-brief,BPF,Run BMAD product brief with Lens governance context,product-brief,<featureId>,preplan,,,false,feature.yaml.docs.path,product brief
Lens,bmad-lens-bmad-skill,bmad-domain-research,BDR,Run BMAD domain research with Lens governance context,domain-research,<featureId>,preplan,,,false,feature.yaml.docs.path,domain research
Lens,bmad-lens-bmad-skill,bmad-market-research,BMR,Run BMAD market research with Lens governance context,market-research,<featureId>,preplan,,,false,feature.yaml.docs.path,market research
Lens,bmad-lens-bmad-skill,bmad-technical-research,BTR,Run BMAD technical research with Lens governance context,technical-research,<featureId>,preplan,,,false,feature.yaml.docs.path,technical research
Lens,bmad-lens-bmad-skill,bmad-create-prd,BPR,Run BMAD create PRD with Lens governance context,create-prd,<featureId>,businessplan,,,false,feature.yaml.docs.path,prd
Lens,bmad-lens-bmad-skill,bmad-create-ux-design,BUX,Run BMAD create UX design with Lens governance context,create-ux-design,<featureId>,businessplan,,,false,feature.yaml.docs.path,ux design
Lens,bmad-lens-bmad-skill,bmad-create-architecture,BAR,Run BMAD create architecture with Lens governance context,create-architecture,<featureId>,techplan,,,false,feature.yaml.docs.path,architecture
Lens,bmad-lens-bmad-skill,bmad-create-epics-and-stories,BES,Run BMAD create epics and stories with Lens governance context,create-epics-and-stories,<featureId>,finalizeplan,,,false,feature.yaml.docs.path,"epics and stories"
Lens,bmad-lens-bmad-skill,bmad-check-implementation-readiness,BIR,Run BMAD implementation readiness with Lens governance context,check-implementation-readiness,<featureId>,finalizeplan,,,false,feature.yaml.docs.path,implementation readiness
Lens,bmad-lens-bmad-skill,bmad-sprint-planning,BSP,Run BMAD sprint planning with Lens governance context,sprint-planning,<featureId>,finalizeplan,,,false,docs/implementation-artifacts,sprint status
Lens,bmad-lens-bmad-skill,bmad-create-story,BST,Run BMAD create story with Lens governance context,create-story,<featureId>,finalizeplan,,,false,docs/implementation-artifacts,story files
Lens,bmad-lens-bmad-skill,bmad-quick-dev,BQD,Run BMAD quick dev with Lens governance context,quick-dev,<featureId>,dev,,,false,docs/implementation-artifacts,"spec and implementation"
Lens,bmad-lens-bmad-skill,bmad-code-review,BCR,Run BMAD code review with Lens governance context,code-review,<featureId>,dev,,,false,docs/implementation-artifacts,review findings
Lens,bmad-lens-upgrade,upgrade,UG,Migrate control repo schema to current version or route legacy branches to lens-migrate,upgrade,[--dry-run],anytime,,,false,,migration results
